Race,,Dist,500m,Time,01:34.7
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.71,130,
50,10.95,4.22,5.93,147,
75,15.09,4.14,6.03,144,
100,19.31,4.22,5.93,139,
125,23.64,4.33,5.77,134,
150,28.07,4.43,5.64,132,
175,32.55,4.48,5.59,132,
200,37.09,4.54,5.5,129,
225,41.67,4.58,5.45,127,
250,46.36,4.68,5.34,126,
275,51.11,4.75,5.26,124,
300,55.90,4.79,5.22,122,
325,01:00.7,4.85,5.15,121,
350,01:05.6,4.87,5.13,122,
375,01:10.4,4.74,5.27,124,
400,01:15.1,4.79,5.22,122,
425,01:20.0,4.84,5.17,122,
450,01:24.9,4.90,5.1,122,
475,01:29.8,4.90,5.1,122,
500,01:34.7,4.89,5.12,122,
Av,,4.73,5.33,128,
,,,,,
